image_id,folder,raw_response,sanitized
PXL_20220922_182816244.jpg,MST1,MST3,MST3
PXL_20220922_182823421.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST5. This is a warmer, lightly tanned skin tone that develops a golden glow in the sun.",MST5
PXL_20220922_182827542.jpg,MST1,"Based on the image provided and considering the Monk Skin Tone scale, I would classify the skin tone as MST4. This classification indicates a soft, warm-toned light skin with golden, olive, or neutral undertones.",MST4
PXL_20220922_182821960.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST3. This classification corresponds to light skin tones with neutral to warm undertones, often associated with easily flushed cheeks.",MST3
PXL_20220922_182727968.jpg,MST1,"Based on the image provided, I would classify this individual's skin tone as MST3. The person has a light skin tone with warm undertones, which aligns with the characteristics of MST3 according to the Monk Skin Tone scale.",MST3
PXL_20220922_182818299.jpg,MST1,"Based on the image provided, the person's skin tone appears to be MST4, which is a soft, warm-toned light skin with golden, olive, or neutral undertones.",MST4
PXL_20220922_182820039.jpg,MST1,"Based on the image provided, I would classify this person's skin tone as MST3. The individual has a light complexion with neutral to warm undertones, which aligns with the description of MST3.",MST3
PXL_20220922_182730001.jpg,MST1,"Based on the image provided, I would categorize the person's skin tone as MST4 - Soft, warm-toned light skin with golden, olive, or neutral undertones.",MST4
PXL_20220922_182836446.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST3. The individual has a light skin tone that appears to have warm undertones, which is consistent with the description of an MST3.",MST3
PXL_20220922_182846104.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST4, which is a soft, warm-toned light skin with golden, olive, or neutral undertones.",MST4
PXL_20220922_182843801.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST4. This classification corresponds to a soft, warm-toned light skin with golden, olive, or neutral undertones.",MST4
PXL_20220922_182838794.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST4. This is because the individual has a soft, warm-toned light skin with golden, olive, or neutral undertones that are typical of MST4.",MST4
PXL_20220922_183041910.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST3. This is because the individual has a light to medium complexion with warm undertones that are often associated with easily flushed cheeks.",MST3
PXL_20220922_183044451.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST3.",MST3
PXL_20220922_183047955.jpg,MST1,"Based on the image provided, I would categorize the person's skin tone as MST5 - a warmer, lightly tanned skin tone that develops a golden glow in the sun.",MST5
PXL_20220922_183050690.jpg,MST1,"Based on the image provided, I would classify the person's skin tone as MST4. This corresponds to a soft, warm-toned light skin with golden, olive, or neutral undertones.",MST4
